Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,-1,11.58889,0.3926719,1.136429,-0.3461679,223.8165
,,-1,12.03333,0.4027606,1.13252,-0.3421871,244.1276
,,-1,12.47778,0.3916618,1.126048,-0.3258203,257.5786
,,-1,12.92222,0.4047899,1.158805,-0.3341653,231.7389
,,-1,13.36667,0.451511,1.209595,-0.2272957,178.478
,,-1,13.81111,0.4611032,1.214888,-0.210022,179.209
,,-1,14.25556,0.4352363,1.208788,-0.1931797,204.0568
,,-1,14.7,0.3758299,1.203923,-0.1823463,217.2212
,,-1,15.14444,0.1621375,1.201211,-0.1756345,222.399
,,-1,15.58889,0.0681408,1.207253,-0.2364886,215.2847
,,-1,16.03333,0.09288925,1.20107,-0.2968611,168.366
,,-1,16.47778,0.1633236,1.186238,-0.2420703,91.53737
,,-1,16.92222,0.2502013,1.177033,-0.1983672,99.91659
,,-1,17.36667,0.5099316,1.18308,-0.05624956,99.1472
,,-1,17.81111,0.7409841,1.19167,0.05686355,101.7705
,,-1,18.25556,0.9474421,1.200823,0.1426369,107.7115
,,-1,18.7,1.127784,1.205111,0.2144836,117.7785
,,-1,19.14445,1.317462,1.210599,0.2410015,126.4231
,,-1,19.58889,1.476102,1.21631,0.3078231,142.6679
,,0,29.5,0.3640314,1.133371,0.1057838,218.3949
,,0,29.94444,0.3917028,1.157333,0.1087428,189.2987
,,0,30.38889,0.4318314,1.175843,0.1941976,123.3548
,,0,30.83333,0.4345762,1.177818,0.2321129,108.7739
,,0,31.27778,0.4241161,1.151945,0.1989549,133.7957
,,0,31.72222,0.4609531,1.138231,0.1994926,121.4377
,,0,32.16667,0.4027208,1.151604,0.1692895,172.5792
,,0,32.61111,0.3108886,1.158723,0.2207916,259.2217
,,0,33.05556,0.3420194,1.159174,0.1593089,206.3405
,,0,33.5,0.6375947,1.186026,0.21723,107.5469
,,0,33.94445,0.8888601,1.19373,0.263375,115.3209
,,0,34.38889,1.123893,1.198524,0.3056337,116.4333
,,0,34.83334,1.335844,1.202711,0.3240126,124.4175
,,0,35.27778,1.53163,1.204471,0.3293338,127.8858
,,1,60.45556,0.2222637,1.168686,0.1348803,189.7943
,,1,60.9,0.2224684,1.168495,0.1346533,189.7236
,,2,71.95556,2.249037,1.168073,1.950405,196.2894
,,2,72.4,2.032816,1.164724,2.07839,195.5821
,,2,72.84444,1.894709,1.162654,1.96515,195.3574
,,3,87.57778,0.8836869,1.166316,0.4176874,204.9007
,,3,88.02222,0.8877914,1.167834,0.4187603,204.2027
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,1,21.51111,0.3716044,1.137245,-0.06736839,221.6184
,,1,21.95556,0.372236,1.137764,-0.06788778,221.5424
,,1,22.4,0.4039431,1.154416,-0.08506429,197.5614
,,1,22.84444,0.5010765,1.153234,-0.05396652,123.1518
,,1,23.28889,0.5205024,1.162215,0.01991367,86.48842
,,1,23.73333,0.507863,1.172469,0.08428061,63.02855
,,1,24.17778,0.5026324,1.185091,0.02563417,96.72712
,,1,24.62222,0.3445861,1.166042,0.0120672,269.8503
,,1,25.06667,0.3334866,1.146234,0.03976071,290.3077
,,1,25.51111,0.3487203,1.153211,-0.07316566,218.4046
,,1,25.95556,0.3286431,1.146984,-0.03644907,245.7691
,,1,26.4,0.3100792,1.135869,0.07750595,297.8832
,,1,26.84444,0.3008214,1.138287,0.0633049,294.4932
,,1,27.28889,0.3212366,1.165577,0.04843938,275.224
,,1,27.73333,0.3137562,1.163534,0.1941371,273.3088
,,1,28.17778,0.2932284,1.160223,0.2662371,261.3865
,,1,28.62222,0.315704,1.184906,0.2033774,207.2048
,,1,29.06667,0.3975832,1.175175,0.1437458,159.7218
,,1,29.51111,0.4487313,1.163276,0.1382198,137.9319
,,1,29.95556,0.4726293,1.167675,0.1386765,122.3078
,,1,30.4,0.4412171,1.184812,0.1294348,134.8712
,,1,30.84444,0.4343677,1.163706,0.01401162,167.0178
,,1,31.28889,0.5770924,1.150201,-0.07481635,166.2056
,,1,31.73333,0.7896732,1.006021,-0.2050394,116.4363
,,1,32.17778,0.8344259,0.9377871,-0.3243126,131.6064
,,1,32.62222,0.7933677,1.039808,-0.2773182,146.4269
,,1,33.06667,0.8028492,1.042325,-0.2748917,168.3029
,,1,33.51111,0.7279811,1.082581,-0.2424921,163.9706
,,1,33.95555,0.7622215,1.068445,-0.2814084,180.3358
,,1,34.4,0.8031837,1.013489,-0.3465892,190.7693
,,1,34.84444,0.8100281,1.007671,-0.3439492,187.6748
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,1,17.01111,0.3559482,1.189185,-0.183458,193.9866
,,1,17.45556,0.3553581,1.18911,-0.1836479,194.3017
,,1,17.9,0.3549234,1.188944,-0.1835829,194.9247
,,1,18.34444,0.3570399,1.189441,-0.1835674,195.3798
,,1,18.78889,0.3605034,1.189998,-0.184955,195.4028
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,1,14.16667,0.6973437,1.130882,-0.5422835,208.6929
,,1,14.61111,0.7084161,1.16819,-0.611186,185.9345
,,1,15.05556,0.847461,1.194958,-0.6517085,198.0662
,,1,15.5,0.8397136,1.194996,-0.65501,199.8591
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,1,23.81111,0.4716402,1.12742,-0.1417941,208.131
,,1,24.25556,0.4758542,1.131611,-0.1501405,203.1344
,,1,24.7,0.5459037,1.19041,-0.2399929,186.3317
,,1,25.14445,0.5878108,1.196482,-0.2562127,202.627
,,1,25.58889,0.577899,1.196091,-0.2509627,203.9298
,,1,26.03333,0.5755421,1.195841,-0.2498301,204.2374
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,1,72.02222,0.6510441,1.129275,-0.4060441,212.6397
,,1,72.46667,0.6549211,1.123457,-0.4121083,206.1829
,,1,72.91111,0.7431856,1.172994,-0.4523296,170.3949
,,1,73.35556,1.005006,1.056899,-0.5423268,115.3051
,,1,73.8,1.105795,0.8377516,-0.6608835,89.96766
,,1,74.24445,1.102473,0.8153091,-0.6847284,91.10896
,,1,74.68889,1.097505,0.8019483,-0.691941,94.9332
,,1,75.13334,1.093236,0.794397,-0.6941308,95.03191
,,1,75.57778,1.090686,0.788873,-0.6953332,94.9356
,,1,76.02222,1.091056,0.7894366,-0.6950458,94.92315
,,1,76.46667,1.09129,0.7900037,-0.6950082,94.88763
,,1,76.91111,1.09155,0.7904253,-0.6950694,94.8353
,,1,77.35556,1.091342,0.7903059,-0.6949193,94.82648
,,1,77.8,1.091368,0.7905684,-0.6948446,94.81384
,,1,78.24445,1.091542,0.7908181,-0.6948794,94.79549
,,1,78.68889,1.091229,0.7901407,-0.6949565,94.79182
,,1,79.13334,1.091295,0.7900744,-0.694995,94.7891
,,1,79.57778,1.091298,0.7901453,-0.6950108,94.78273
,,1,80.02222,1.091254,0.7902777,-0.6949341,94.77242
,,1,80.46667,1.091313,0.7904252,-0.694739,94.77854
,,1,80.91111,1.091499,0.7903332,-0.6949509,94.79047
,,1,81.35556,1.091331,0.7904869,-0.6949253,94.78545
,,1,81.8,1.091334,0.7903829,-0.6948673,94.77013
,,1,82.24445,1.091379,0.7906353,-0.694903,94.77028
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,1,18.86667,0.7325759,1.167582,-0.5353035,206.492
,,1,19.31111,0.725062,1.159902,-0.5428689,208.2913
,,1,19.75556,0.7149935,1.145531,-0.5574719,214.369
,,1,20.2,0.7066277,1.129711,-0.5755308,213.1004
,,1,20.64445,0.711129,1.134789,-0.5610867,210.484
,,1,21.08889,0.7033937,1.130737,-0.5622051,212.1836
,,1,21.53333,0.7049401,1.127506,-0.5680469,211.7309
,,1,21.97778,0.7669798,1.20186,-0.6399055,164.5464
,,1,22.42222,1.028443,1.10232,-0.6847377,120.4081
,,1,22.86667,1.205146,0.8739285,-0.8150359,84.53667
,,1,23.31111,1.194635,0.8144628,-0.860326,84.56985
,,1,23.75556,1.181082,0.7916446,-0.8604514,83.96381
,,1,24.2,1.181347,0.7930537,-0.8550165,84.4417
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,1,39.33334,0.3526269,1.112187,-0.03117895,210.6443
,,1,39.77778,0.3523998,1.112211,-0.03140545,210.5182
,,1,40.22222,0.3531534,1.112184,-0.03175879,210.2608
,,1,40.66667,0.3586542,1.115875,-0.03559434,204.7033
,,1,41.11111,0.3841951,1.136344,-0.03829503,191.3523
,,1,41.55556,0.4017264,1.144961,-0.04140568,184.6212
,,1,42,0.4016444,1.14544,-0.04012799,184.6715
,,1,42.44445,0.3940961,1.142879,-0.03639913,187.375
,,1,42.88889,0.3743197,1.136654,-0.03192258,194.7266
,,1,43.33334,0.3558177,1.126081,-0.028615,204.8837
,,1,43.77778,0.3486494,1.121202,-0.02857995,209.7795
,,1,44.22223,0.3465988,1.119446,-0.02847266,210.4724
,,1,44.66667,0.3473679,1.119561,-0.02881968,210.1667
,,1,45.11111,0.3481373,1.119492,-0.02894878,209.3353
,,1,45.55556,0.3475341,1.118397,-0.02828503,209.9779
,,1,46,0.3466402,1.117663,-0.02797794,209.7746
,,1,46.44445,0.3463532,1.117567,-0.02837932,209.5847
